date,interest
2019-01-01,14
2019-02-01,12
2019-03-01,14
2019-04-01,13
2019-05-01,11
2019-06-01,11
2019-07-01,11
2019-08-01,10
2019-09-01,13
2019-10-01,23
2019-11-01,17
2019-12-01,20
2020-01-01,14
2020-02-01,11
2020-03-01,7
2020-04-01,5
2020-05-01,7
2020-06-01,10
2020-07-01,9
2020-08-01,11
2020-09-01,12
2020-10-01,17
2020-11-01,8
2020-12-01,17
2021-01-01,11
2021-02-01,10
2021-03-01,10
2021-04-01,9
2021-05-01,10
2021-06-01,11
2021-07-01,11
2021-08-01,13
2021-09-01,14
2021-10-01,23
2021-11-01,15
2021-12-01,19
2022-01-01,14
2022-02-01,16
2022-03-01,14
2022-04-01,17
2022-05-01,16
2022-06-01,16
2022-07-01,17
2022-08-01,17
2022-09-01,20
2022-10-01,23
2022-11-01,22
2022-12-01,29
2023-01-01,27
2023-02-01,25
2023-03-01,26
2023-04-01,25
2023-05-01,27
2023-06-01,31
2023-07-01,37
2023-08-01,42
2023-09-01,37
2023-10-01,35
2023-11-01,35
2023-12-01,41
2024-01-01,30
2024-02-01,33
2024-03-01,28
2024-04-01,25
2024-05-01,25
2024-06-01,24
2024-07-01,23
2024-08-01,22
2024-09-01,27
2024-10-01,34
2024-11-01,34
2024-12-01,36
2025-01-01,30
2025-02-01,36
2025-03-01,27
2025-04-01,22
2025-05-01,23
2025-06-01,27
2025-07-01,27
2025-08-01,40
2025-09-01,43
2025-10-01,47
2025-11-01,62
2025-12-01,48
2026-01-01,40
2026-02-01,68
2026-03-01,61
2026-04-01,100
