date,momentum,direction,recent_avg,historical_avg
2024-01-01,1.0,rising,64.875,12.340909090909092
2024-02-01,1.0,rising,64.875,13.636363636363637
2024-03-01,1.0,rising,65.125,14.818181818181818
2024-04-01,1.0,rising,64.5,16.068181818181817
2024-05-01,1.0,rising,61.375,17.568181818181817
2024-06-01,1.0,rising,59.75,18.75
2024-07-01,1.0,rising,58.0,20.181818181818183
2024-08-01,1.0,rising,50.625,22.454545454545453
2024-09-01,0.9058380413937317,rising,46.0,24.136363636363637
2024-10-01,0.7055406612769938,rising,43.375,25.431818181818183
2024-11-01,0.6270247229091311,rising,43.375,26.65909090909091
2024-12-01,0.5739983646563729,rising,43.75,27.795454545454547
